,num_communique,date_communique,nbre_test,nbre_gueris,nbre_positifs,nbre_cas_contact,nbre_cas_communautaire,nbre_cas_importes,nbre_deces,nbre_cas_graves,nbre_vaccines
308,295.0,21-12-2020,1404.0,40.0,121.0,52.0,69.0,0.0,6.0,,
309,422.0,27-4-2021,880.0,,27.0,7.0,20.0,0.0,,,
310,367.0,03-3-2021,2017.0,,205.0,70.0,135.0,0.0,,,
311,51.0,21-4-2020,466.0,7.0,35.0,34.0,1.0,,,0.0,
312,340.0,4-2-2021,,,368.0,89.0,279.0,0.0,,,
313,411.0,16-4-2021,1575.0,,58.0,21.0,37.0,0.0,,,
314,114.0,23-6-2020,1045.0,93.0,64.0,51.0,13.0,,3.0,,
315,61.0,ter-5-2020,901.0,22.0,91.0,88.0,3.0,,,2.0,
316,134.0,13-7-2020,710.0,68.0,63.0,50.0,13.0,,2.0,,
317,,,108.0,8.0,7.0,2.0,5.0,,,,
318,79.0,19-5-2020,930.0,57.0,73.0,68.0,5.0,,0.0,,
319,224.0,11-10-2020,1091.0,99.0,24.0,5.0,18.0,1.0,0.0,,
320,425.0,30-4-2021,1280.0,,49.0,14.0,35.0,0.0,,,
321,380.0,16-3-2021,1116.0,,66.0,19.0,47.0,0.0,,,
322,313.0,8-1-2021,2270.0,181.0,296.0,154.0,142.0,0.0,8.0,,
323,192.0,09-9-2020,1317.0,88.0,58.0,36.0,21.0,1.0,1.0,,
324,347.0,11-2-2021,2860.0,246.0,393.0,89.0,304.0,0.0,12.0,,
325,212.0,29-9-2020,920.0,104.0,26.0,7.0,11.0,8.0,1.0,,
326,337.0,1*-2-2021,2411.0,175.0,404.0,126.0,278.0,0.0,10.0,,
327,163.0,11-None-2020,876.0,59.0,68.0,29.0,39.0,,2.0,,
328,85.0,25-5-2020,1091.0,59.0,83.0,79.0,4.0,,,15.0,
329,101.0,10-6-2020,1205.0,76.0,124.0,109.0,15.0,,,18.0,
330,,21-3-2020,,,9.0,,,,,,
331,225.0,12-10-2020,639.0,93.0,24.0,8.0,9.0,7.0,1.0,,
332,83.0,23-5-2020,934.0,105.0,67.0,49.0,16.0,2.0,0.0,,
333,110.0,19-6-2020,1617.0,72.0,164.0,148.0,16.0,,3.0,,
334,66.0,06-5-2020,1182.0,23.0,104.0,100.0,4.0,,0.0,,
335,327.0,22-1-2021,2270.0,178.0,300.0,126.0,174.0,0.0,9.0,,
336,123.0,02-7-2020,1160.0,54.0,129.0,96.0,33.0,,5.0,,
337,,30-3-2020,87.0,1.0,20.0,14.0,1.0,,,,
338,65.0,05-5-2020,702.0,56.0,58.0,54.0,4.0,,0.0,,
